"participant","probe_type","reference_num","p1","p2","PSE","beta","abs_beta","PSE_bias","JND","WF","slope_at_pse"
19269,"radial",9,9.47541434615829,0.643537939042438,9.47541434615829,0.643537939042438,0.643537939042438,0.475414346158288,1.707144555149,0.180165689096345,0.160884484760609
19269,"radial",13,13.9494365291399,0.421910001631022,13.9494365291399,0.421910001631022,0.421910001631022,0.94943652913993,2.60390198009312,0.1866671800437,0.105477500407755
19269,"radial",18,20.3882335876212,0.385351128259644,20.3882335876212,0.385351128259644,0.385351128259644,2.38823358762122,2.85093829523675,0.139832530512487,0.096337782064911
19269,"radial",24,26.276554694454,0.3434840965624,26.276554694454,0.3434840965624,0.3434840965624,2.27655469445404,3.1984371319169,0.121722089105995,0.0858710241406
19269,"radial",30,37.9400019940085,0.129704204799118,37.9400019940085,0.129704204799118,0.129704204799118,7.94000199400851,8.47013626404483,0.223250812305767,0.0324260511997796
19269,"tangential",9,8.39925852863265,0.837107730638976,8.39925852863265,0.837107730638976,0.837107730638976,-0.600741471367353,1.31239056630086,0.156250764496292,0.209276932659744
19269,"tangential",13,12.1819063152113,0.332047237366709,12.1819063152113,0.332047237366709,0.332047237366709,-0.818093684788749,3.30860240663534,0.271599725118881,0.0830118093416773
19269,"tangential",18,15.703601217918,0.385691433378605,15.703601217918,0.385691433378605,0.385691433378605,-2.29639878208197,2.84842284165975,0.181386600572209,0.0964228583446513
19269,"tangential",24,21.5495364122859,0.242827567932834,21.5495364122859,0.242827567932834,0.242827567932834,-2.45046358771408,4.52424861814695,0.20994644764458,0.0607068919832086
19269,"tangential",30,24.9576645982619,0.214130626792869,24.9576645982619,0.214130626792869,0.214130626792869,-5.04233540173808,5.1305705546307,0.205570939317295,0.0535326566982173
71282,"radial",9,7.42580675434015,0.633956423168709,7.42580675434015,0.633956423168709,0.633956423168709,-1.57419324565985,1.73294606461578,0.233368053054023,0.158489105792177
71282,"radial",13,12.6940242507882,0.446829101399978,12.6940242507882,0.446829101399978,0.446829101399978,-0.305975749211797,2.45868562550202,0.193688429841258,0.111707275349995
71282,"radial",18,15.7329688659371,0.421908299522529,15.7329688659371,0.421908299522529,0.421908299522529,-2.26703113406293,2.60391248503858,0.165506746198184,0.105477074880632
71282,"radial",24,25.3775703918503,0.299117617154231,25.3775703918503,0.299117617154231,0.299117617154231,1.37757039185026,3.67284381013788,0.144727952811329,0.0747794042885577
71282,"radial",30,47.5970013485337,0.103014441662533,47.5970013485337,0.103014441662533,0.103014441662533,17.5970013485337,10.664643431909,0.224061246081788,0.0257536104156333
71282,"tangential",9,9.66642224187935,0.832391228464862,9.66642224187935,0.832391228464862,0.832391228464862,0.666422241879349,1.31982684475691,0.136537263915373,0.208097807116216
71282,"tangential",13,13.1578143159705,0.418374098427051,13.1578143159705,0.418374098427051,0.418374098427051,0.157814315970484,2.62590894799303,0.199570299818397,0.104593524606763
71282,"tangential",18,18.8114458263866,0.489213382580097,18.8114458263866,0.489213382580097,0.489213382580097,0.811445826386599,2.24567096442469,0.119377903492921,0.122303345645024
71282,"tangential",24,24.8955339190892,0.292243310905637,24.8955339190892,0.292243310905637,0.292243310905637,0.895533919089186,3.75923844163826,0.151000514946007,0.0730608277264092
71282,"tangential",30,19.5810473458253,0.233114802436608,19.5810473458253,0.233114802436608,0.233114802436608,-10.4189526541747,4.7127521598156,0.240679268916653,0.0582787006091519
76838,"radial",9,8.72677951008671,0.990934738139804,8.72677951008671,0.990934738139804,0.990934738139804,-0.273220489913291,1.10866260550159,0.127041436559748,0.247733684534951
76838,"radial",13,12.6778694818754,0.404034399090944,12.6778694818754,0.404034399090944,0.404034399090944,-0.322130518124617,2.71910582648391,0.214476559359695,0.101008599772736
76838,"radial",18,18.7414347913373,0.389655984608362,18.7414347913373,0.389655984608362,0.389655984608362,0.741434791337273,2.81944158966866,0.150438940297777,0.0974139961520906
76838,"radial",24,24.6257978393151,0.430153924137774,24.6257978393151,0.430153924137774,0.430153924137774,0.625797839315084,2.55399806213609,0.103712297112203,0.107538481034443
76838,"radial",30,53.8010383948748,0.125924076491254,53.8010383948748,0.125924076491254,0.125924076491254,23.8010383948748,8.72440218963537,0.16216047961012,0.0314810191228135
76838,"tangential",13,12.9323145577006,0.657753235431514,12.9323145577006,0.657753235431514,0.657753235431514,-0.0676854422993856,1.67024991970944,0.129153208596746,0.164438308857879
76838,"tangential",18,17.6296535174643,0.482475209740105,17.6296535174643,0.482475209740105,0.482475209740105,-0.370346482535684,2.27703365165622,0.129159296829092,0.120618802435026
76838,"tangential",24,22.4571218910744,0.450791591710518,22.4571218910744,0.450791591710518,0.450791591710518,-1.54287810892556,2.43707360312434,0.108521190513418,0.11269789792763
86725,"radial",9,9.1337967647149,0.802865529326497,9.1337967647149,0.802865529326497,0.802865529326497,0.133796764714896,1.36836400186431,0.149813274491774,0.200716382331624
86725,"radial",13,13.0768174712802,0.445057480602718,13.0768174712802,0.445057480602718,0.445057480602718,0.0768174712802292,2.46847280755807,0.188767092068037,0.111264370150679
86725,"radial",18,18.9469446965994,0.363248213121366,18.9469446965994,0.363248213121366,0.363248213121366,0.94694469659936,3.02441209339425,0.159625319112114,0.0908120532803414
86725,"radial",24,24.7229566570656,0.335476610917421,24.7229566570656,0.335476610917421,0.335476610917421,0.722956657065556,3.27478057460923,0.132459099452951,0.0838691527293552
86725,"radial",30,23.2243988174736,0.170071788804927,23.2243988174736,0.170071788804927,0.170071788804927,-6.77560118252642,6.45969738066446,0.278142716693459,0.0425179472012319
